,d_name,edp_365,current_expense_ada,current_expense_per_ada,lea_type
904,Sonora Union High,13308893.38,956.74,13910.66891736522,High
907,Summerville Union High,6295861.02,350.21,17977.387910111076,High
909,Big Oak Flat-Groveland Unified,5191162.68,275.93,18813.33193201174,Unified
911,Fillmore Unified,46360060.99,3602.9,12867.42929029393,Unified
916,Ojai Unified,26036825.12,2269.98,11470.068071084326,Unified
918,Oxnard Union High,193371793.25,15419.26,12540.925650777015,High
922,Simi Valley Unified,177362376.93,15734.71,11272.046127955331,Unified
924,Ventura Unified,180163180.21,15664.32,11501.500238120774,Unified
925,Conejo Valley Unified,190389889.59,17728.65,10739.108143598074,Unified
926,Oak Park Unified,45781712.28,4424.57,10347.15515406017,Unified
927,Moorpark Unified,62563919.66,5896.79,10609.826644665996,Unified
928,Santa Paula Unified,67356343.91,5020.07,13417.41129306962,Unified
929,Davis Joint Unified,98731785.69,7674.57,12864.79707527588,Unified
930,Esparto Unified,12549729.57,886.9,14150.106629834256,Unified
931,Washington Unified,90438943.04,7249.84,12474.612272822573,Unified
932,Winters Joint Unified,18640169.58,1471.93,12663.76089895579,Unified
933,Woodland Joint Unified,112276752.21,9221.81,12175.131802758895,Unified
935,Marysville Joint Unified,107389549.48,9072.18,11837.237519537752,Unified
938,Wheatland Union High,9310830.77,748.75,12435.166303839733,High
