,d_name,edp_365,current_expense_ada,current_expense_per_ada,lea_type
207,Taft Union High,21214926.93,952.54,22271.953860205347,High
208,Tehachapi Unified,43350427.29,4029.78,10757.517107633666,Unified
211,Wasco Union High,21409174.16,1750.19,12232.485707266069,High
213,Sierra Sands Unified,57305929.19,4849.05,11817.970363267032,Unified
214,Mcfarland Unified,41739885.55,3306.93,12621.944084090077,Unified
215,El Tejon Unified,8625448.99,684.41,12602.751260209525,Unified
218,Corcoran Joint Unified,39711773.39,3118.53,12734.132232173492,Unified
220,Hanford Joint Union High,46471416.45,3603.6,12895.830960705962,High
226,Lemoore Union High,23235434.2,1812.35,12820.610919524375,High
228,Reef-Sunset Unified,33543580.55,2550.86,13149.91044196859,Unified
229,Kelseyville Unified,21984210.28,1596.33,13771.720308457527,Unified
230,Konocti Unified,43234686.37,3226.14,13401.367073344616,Unified
231,Lakeport Unified,18211595.17,1365.89,13333.134564276772,Unified
233,Middletown Unified,15726039.78,1399.11,11240.031005424878,Unified
234,Upper Lake Unified,10287378.07,760.23,13531.928587401182,Unified
235,Big Valley Joint Unified,2443847.29,122.78,19904.278302655155,Unified
238,Lassen Union High,9631137.89,724.86,13286.893869160942,High
243,Westwood Unified,2608781.27,165.5,15763.028821752267,Unified
244,Fort Sage Unified,2312850.4,124.13,18632.485297671796,Unified
245,ABC Unified,230685270.33,19754.36,11677.688891464973,Unified
246,Antelope Valley Union High,270991264.1,19425.97,13949.947626810914,High
247,Arcadia Unified,106247183.82,9128.98,11638.45071629032,Unified
248,Azusa Unified,110109228.03,7744.16,14218.35654609409,Unified
249,Baldwin Park Unified,166397356.72,12017.21,13846.588078264424,Unified
250,Bassett Unified,43150223.41,3318.11,13004.458384441745,Unified
251,Bellflower Unified,145793378.49,11291.62,12911.644076757808,Unified
252,Beverly Hills Unified,71118089.23,3599.35,19758.59230972259,Unified
253,Bonita Unified,107261273.8,9670.69,11091.377533557585,Unified
254,Burbank Unified,169596961.86,14579.31,11632.715256071791,Unified
256,Centinela Valley Union High,95859688.8,5935.08,16151.372652095675,High
257,Charter Oak Unified,55746076.09,4457.01,12507.505275958547,Unified
258,Claremont Unified,76595379.22,6658.99,11502.552071710576,Unified
259,Covina-Valley Unified,147089434.81,11258.91,13064.269526090891,Unified
260,Culver City Unified,79743589.95,6864.99,11615.980496694097,Unified
261,Downey Unified,271186754.25,21135.17,12831.065671579649,Unified
262,Duarte Unified,45566001.18,3416.81,13335.831134888975,Unified
266,El Monte Union High,121314592.88,8130.07,14921.715665424776,High
267,El Rancho Unified,101714507.87,8158.97,12466.586820395221,Unified
268,El Segundo Unified,38774925.31,3340.01,11609.224316693662,Unified
270,Glendale Unified,305954698.14,24874.43,12299.968205904617,Unified
271,Glendora Unified,79635072.68,6943.15,11469.58839719724,Unified
276,Inglewood Unified,120144977.68,8201.49,14649.164685929021,Unified
278,La Canada Unified,46643418.7,4036.94,11554.152080536249,Unified
280,Las Virgenes Unified,120746307.83,10663.53,11323.296115826559,Unified
284,Long Beach Unified,907662690.03,69003.32,13153.898827331785,Unified
285,Los Angeles Unified,7213548356.51,453121.47000000003,15919.6790134663,Unified
288,Lynwood Unified,172236162.51,12790.36,13466.091846515656,Unified
289,Monrovia Unified,67353692.04,5149.18,13080.469519418626,Unified
290,Montebello Unified,318976518.95,23871.22,13362.388639960587,Unified
293,Norwalk-La Mirada Unified,223590771.67,16663.21,13418.229240944573,Unified
295,Palos Verdes Peninsula Unified,127056965.43,10824.85,11737.526656720416,Unified
296,Paramount Unified,187494282.21,14139.59,13260.23471755546,Unified
297,Pasadena Unified,216140980.56,15395.84,14038.920939682408,Unified
298,Pomona Unified,292839808.22,21581.65,13568.925833752286,Unified
300,San Marino Unified,40602014.46,2903.36,13984.491919706823,Unified
301,Santa Monica-Malibu Unified,157457042.97,10070.34,15635.722624062346,Unified
303,South Pasadena Unified,49919287.16,4627.27,10788.06448726787,Unified
306,Temple City Unified,59227544.92,5529.05,10712.0653493819,Unified
307,Torrance Unified,246874250.31,22483.7,10980.14340655675,Unified
309,West Covina Unified,118789978.6,8217.89,14455.04607630426,Unified
312,Whittier Union High,158246087.94,10868.3,14560.334913463928,High
313,William S. Hart Union High,255144957.17,21359.3,11945.380100003276,High
315,Compton Unified,290278111.15,19816.21,14648.518114715174,Unified
316,Hacienda La Puente Unified,213546712.57,17395.21,12276.179049864877,Unified
317,Rowland Unified,165022747.51,12728.74,12964.578387962987,Unified
318,Walnut Valley Unified,142291876.74,13575.79,10481.29624427013,Unified
319,San Gabriel Unified,62011475.72,4816.76,12874.105357128026,Unified
320,Acton-Agua Dulce Unified,14654006.7,1027.63,14260.002822027382,Unified
321,Manhattan Beach Unified,87391823.6,6310.7,13848.198076283137,Unified
322,Redondo Beach Unified,103289495.22,9632.86,10722.619784778351,Unified
323,Alhambra Unified,210900295.93,15966.72,13208.742680400233,Unified
324,Wiseburn Unified,28145161.09,2446.43,11504.584676446904,Unified
328,Chowchilla Union High,13012609.29,1035.13,12570.990397341395,High
329,Madera Unified,235737618.91,18888.33,12480.596162286447,Unified
331,Golden Valley Unified,21014692.99,1917.59,10958.908311995787,Unified
332,Chawanakee Unified,9028332.83,693.51,13018.316722181367,Unified
333,Yosemite Unified,18536563.22,1451.42,12771.329608245716,Unified
343,Novato Unified,91430746.7,7120.98,12839.62975601673,Unified
347,San Rafael City High,37237637.81,2490.36,14952.71278449702,High
349,Tamalpais Union High,94233344.32,4784.59,19695.176456080873,High
350,Shoreline Unified,14190854.81,477.13,29742.11391025507,Unified
352,Mariposa County Unified,21381753.97,1597.57,13383.923064404064,Unified
353,Anderson Valley Unified,7792586.68,446.0,17472.16744394619,Unified
354,Fort Bragg Unified,23447250.64,1678.03,13973.081911527208,Unified
356,Mendocino Unified,8682168.75,496.35,17492.02931399214,Unified
357,Round Valley Unified,7960364.91,381.05,20890.60467130298,Unified
358,Ukiah Unified,75204715.36,5592.26,13448.000514997513,Unified
359,Willits Unified,20169877.18,1402.11,14385.374314426115,Unified
360,Potter Valley Community Unified,3995787.29,246.72,16195.63590304799,Unified
361,Laytonville Unified,5637158.67,334.07,16874.184063220284,Unified
