d_name,sat_num_tst_takr,sat_num_erw_over_benchmark,sat_pct_erw_over_benchmark,sat_num_math_over_benchmark,sat_pct_math_over_benchmark,sat_enroll,sat_tot_num_both_over_benchmark,sat_pct_both_over_benchmark,annual_expense_of_ed,current_expense_ada,current_expense_per_ada,lea_type,avg_tchr_sex,avg_tchr_age,avg_tchr_edu_lvl,avg_tchr_yrs_tching,avg_tchr_yrs_in_dstrct,tchrs_per_district,cumulative_enrollment,cum_enrollment_sed,socio_ec_disadv_pct,student_teacher_ratio,act_enroll,act_num_tst_takr,act_avg_scr_read,act_avg_scr_eng,act_avg_scr_math,act_avg_scr_sci,act_num_ge_21,act_pct_ge_21
Coast Unified,24.0,0.0,,0.0,,93.0,0.0,,11575788.78,535.36,21622.438695457262,Unified,0.6458333333333334,45.645833333333336,4.520833333333333,14.5625,10.666666666666666,48,596.0,452.0,0.7583892617449665,12.416666666666666,42.0,6.0,,,,,,
Colton Joint Unified,796.0,508.0,0.6283,298.0,0.36769999999999997,3092.0,316.0,0.33385,258065325.4,20829.13,12389.635352028625,Unified,0.718923198733175,43.9089469517023,5.072050673000792,14.543151227236738,13.521773555027712,1263,24583.0,20454.0,0.832038400520685,19.463974663499606,613.2,50.4,19.75,19.5,19.5,20.0,23.0,0.44049999999999995
Colusa Unified,28.0,0.0,,0.0,,243.0,48.0,0.6315999999999999,15853987.43,1422.61,11144.296349667162,Unified,0.8,41.77647058823529,3.8941176470588235,13.470588235294118,11.423529411764706,85,1623.0,1208.0,0.7443006777572396,19.094117647058823,69.33333333333333,3.3333333333333335,,,,,,
Compton Unified,560.0,230.0,0.41295,90.0,0.16598333333333332,2698.0,246.0,0.16193333333333335,290278111.15,19816.21,14648.518114715174,Unified,0.6906686260102866,47.258633357825126,4.555473916238061,13.802351212343865,13.518736223365172,1361,25879.0,23736.0,0.9171915452683643,19.014695077149156,357.2857142857143,227.14285714285714,16.0,14.333333333333334,16.333333333333332,15.666666666666666,19.0,0.10871666666666668
Conejo Valley Unified,1222.0,1134.0,0.9393250000000001,935.0,0.773925,3425.0,1282.0,0.8656999999999999,190389889.59,17728.65,10739.108143598074,Unified,0.7773279352226721,46.272267206477736,6.0091093117408905,14.839068825910932,14.411943319838057,988,19270.0,5149.0,0.2672029060716139,19.504048582995953,693.2,168.4,27.0,26.75,26.0,25.75,178.5,0.8509
Corcoran Joint Unified,98.0,54.0,0.551,34.0,0.3469,445.0,10.0,0.1389,39711773.39,3118.53,12734.132232173492,Unified,0.6842105263157895,41.71052631578947,3.5473684210526315,10.368421052631579,8.194736842105263,190,3577.0,3174.0,0.8873357562202964,18.826315789473686,178.0,40.0,18.0,17.0,18.0,19.0,10.0,0.25
Corning Union High,60.0,48.0,0.8,36.0,0.6,489.0,0.0,,12521664.56,954.49,13118.696434745258,High,0.5,44.13793103448276,3.0517241379310347,14.189655172413794,14.155172413793103,58,1156.0,947.0,0.8192041522491349,19.93103448275862,217.0,113.0,18.0,18.0,18.0,17.0,33.0,0.292
Corona-Norco Unified,3472.0,2706.0,0.7831,1979.0,0.5582714285714286,8524.0,2040.0,0.6538428571428572,576153307.81,50989.66,11299.414583466529,Unified,0.7582123758594347,44.79946524064171,6.5064935064935066,16.514514896867837,14.154316271963332,2618,56894.0,27444.0,0.4823707245052202,21.731856378915204,1065.0,189.25,21.857142857142858,20.857142857142858,21.142857142857142,21.142857142857142,117.14285714285714,0.5390285714285714
Coronado Unified,303.0,287.0,0.9472,230.0,0.7590999999999999,586.0,306.0,0.9162,39984983.8,2941.52,13593.306793766487,Unified,0.7333333333333333,44.53888888888889,5.838888888888889,12.316666666666666,8.744444444444444,180,3235.0,397.0,0.12272024729520865,17.97222222222222,292.5,128.0,26.0,25.0,25.0,25.0,100.0,0.7813
Cotati-Rohnert Park Unified,264.0,190.0,0.7799333333333333,128.0,0.5481666666666666,1118.0,138.0,0.6783,70052793.76,5451.88,12849.291209637777,Unified,0.736,42.64266666666666,4.498666666666667,11.848,9.664,375,6429.0,2983.0,0.4639912894695909,17.144,253.25,36.5,23.666666666666668,22.666666666666668,22.666666666666668,22.333333333333332,26.0,0.6014666666666667
Covina-Valley Unified,1996.0,922.0,0.4082,558.0,0.22688000000000003,2033.0,530.0,0.2266,147089434.81,11258.91,13064.269526090891,Unified,0.6925373134328359,44.767164179104476,6.461194029850747,15.744776119402985,13.594029850746269,670,12583.0,9091.0,0.7224827147739012,18.780597014925373,515.5,36.0,21.333333333333332,20.333333333333332,20.666666666666668,20.666666666666668,18.0,0.4390333333333334
Culver City Unified,446.0,373.0,0.8382000000000001,240.0,0.5393,1047.0,346.0,0.7090000000000001,79743589.95,6864.99,11615.980496694097,Unified,0.7562814070351759,43.45477386934673,5.816582914572864,12.49748743718593,11.075376884422111,398,7324.0,2494.0,0.3405243036592026,18.402010050251256,369.3333333333333,98.66666666666667,24.0,24.0,22.0,23.0,94.5,0.6406999999999999
Cutler-Orosi Joint Unified,244.0,82.0,0.3361,36.0,0.1475,570.0,34.0,0.15039999999999998,51526210.03,3940.12,13077.319987716111,Unified,0.6887966804979253,41.93775933609958,4.775933609958506,12.946058091286307,10.697095435684647,241,4448.0,4262.0,0.95818345323741,18.456431535269708,264.5,85.0,17.0,15.0,17.0,17.0,10.0,0.1176
Cuyama Joint Unified,18.0,0.0,,0.0,,238.0,0.0,,3462449.03,186.65,18550.490383069915,Unified,0.7591240875912408,40.87956204379562,4.821167883211679,11.182481751824817,2.0875912408759123,274,212.0,173.0,0.8160377358490566,0.7737226277372263,107.0,0.5,,,,,,
Davis Joint Unified,614.0,585.0,0.9523333333333333,548.0,0.8641333333333333,1458.0,839.0,0.8780999999999999,98731785.69,7674.57,12864.79707527588,Unified,0.7482638888888888,45.498263888888886,4.762152777777778,14.168402777777779,10.041666666666666,576,9045.0,2181.0,0.24112769485903815,15.703125,349.0,78.0,28.0,27.5,28.0,27.0,140.0,0.9335
Del Norte County Unified,142.0,98.0,0.6901,72.0,0.507,442.0,74.0,0.5606,44698597.3,3392.97,13173.885209713024,Unified,0.70042194092827,46.41772151898734,3.5063291139240507,14.181434599156118,12.907172995780591,237,4319.0,3037.0,0.7031720305626302,18.223628691983123,224.5,5.0,,,,,,
Delano Joint Union High,640.0,358.0,0.55735,244.0,0.375475,1978.0,286.0,0.400525,56962787.65,4028.35,14140.476286817184,High,0.4675324675324675,39.93939393939394,4.3852813852813854,9.70995670995671,9.216450216450216,231,4502.0,4144.0,0.9204797867614394,19.48917748917749,490.75,97.0,19.75,18.5,20.25,19.5,34.5,0.41645
Delhi Unified,164.0,100.0,0.6098,28.0,0.1707,338.0,26.0,0.22030000000000002,32689459.85,2465.1,13260.90619041824,Unified,0.6950354609929078,44.255319148936174,3.8865248226950353,13.99290780141844,11.815602836879433,141,2782.0,2466.0,0.8864126527677929,19.73049645390071,167.0,68.0,18.0,17.0,17.0,18.0,15.0,0.2206
Desert Sands Unified,1510.0,1041.0,0.6950800000000001,529.0,0.36108,4560.0,1020.0,0.1881375,328383803.36,24772.64,13255.906651854628,Unified,0.7100753941055518,47.223440712816995,5.667580534612749,15.308430431802604,12.085675119945169,1459,30668.0,21191.0,0.6909808269205687,21.01987662782728,772.0,75.33333333333333,21.2,19.8,19.4,20.4,43.6,0.42442
Dinuba Unified,230.0,134.0,0.5826,74.0,0.32170000000000004,1069.0,89.0,0.4759,76425914.54,6302.28,12126.708832359085,Unified,0.6329787234042553,43.920212765957444,4.375,12.5,12.11436170212766,376,7146.0,6008.0,0.8407500699692135,19.00531914893617,347.0,64.0,18.0,16.0,17.0,19.0,18.0,0.1875
Dixon Unified,188.0,146.0,0.7766,124.0,0.6596,570.0,114.0,0.7037,36506721.41,3031.35,12043.057189041185,Unified,0.7488584474885844,43.87214611872146,4.018264840182648,12.301369863013699,10.031963470319635,219,3850.0,2191.0,0.5690909090909091,17.579908675799086,278.0,67.0,21.0,20.0,21.0,20.0,34.0,0.5075
Dos Palos Oro Loma Joint Unified,86.0,44.0,0.5115999999999999,18.0,0.20929999999999999,310.0,38.0,0.6333,30401652.8,2281.61,13324.649173171576,Unified,0.7037037037037037,44.60740740740741,4.503703703703704,13.444444444444445,11.837037037037037,135,2668.0,2360.0,0.8845577211394303,19.762962962962963,176.5,2.0,,,,,,
Downey Unified,1462.0,1086.0,0.7442000000000001,706.0,0.48216666666666663,3932.0,1024.0,0.2991,271186754.25,21135.17,12831.065671579649,Unified,0.7099303135888502,45.258710801393725,4.755226480836237,17.362369337979093,15.70993031358885,1148,23341.0,16752.0,0.7177070391157191,20.331881533101047,1347.3333333333333,90.0,23.0,22.333333333333332,22.666666666666668,22.0,60.666666666666664,0.6729999999999999
Duarte Unified,252.0,167.0,0.7329666666666667,92.0,0.43529999999999996,887.0,126.0,0.48852500000000004,45566001.18,3416.81,13335.831134888975,Unified,0.7021276595744681,42.02836879432624,5.897163120567376,11.570921985815604,9.056737588652481,282,7172.0,4358.0,0.6076408254322365,25.43262411347518,193.0,29.5,23.333333333333332,23.333333333333332,21.0,21.333333333333332,20.666666666666668,0.5534333333333333
Dublin Unified,542.0,510.0,0.941,428.0,0.7897,1493.0,800.0,0.9217,122537246.11,11769.85,10411.113659902207,Unified,0.8126934984520123,40.961300309597526,4.80030959752322,12.540247678018575,7.958204334365325,646,12693.0,1257.0,0.09903096194753014,19.648606811145513,658.5,216.0,28.0,28.0,28.0,27.0,187.0,0.8656999999999999
Dunsmuir Joint Union High,6.0,0.0,,0.0,,26.0,0.0,,1797933.16,54.82,32797.02955125866,High,0.5,48.4,3.5,13.2,12.7,10,69.0,49.0,0.7101449275362319,6.9,15.0,0.0,,,,,,
Durham Unified,62.0,60.0,0.9677,42.0,0.6774,148.0,60.0,0.7143,11132391.88,997.79,11157.048958197618,Unified,0.7121212121212122,45.833333333333336,4.136363636363637,17.893939393939394,11.833333333333334,66,1122.0,537.0,0.4786096256684492,17.0,72.0,3.0,,,,,,
East Nicolaus Joint Union High,70.0,52.0,0.7429000000000001,32.0,0.4571,158.0,30.0,0.4054,3400815.91,286.79,11858.209526134106,High,0.6,40.3,4.2,7.75,4.25,20,312.0,118.0,0.3782051282051282,15.6,79.0,9.0,,,,,,
East Side Union High,4776.0,3555.0,0.6394684210526316,2801.0,0.4626789473684211,12448.0,4552.0,0.32551363636363634,285829345.07,21330.1,13400.28153032569,High,0.5710286913925823,42.66270118964311,5.009097270818755,13.465360391882434,11.212736179146257,1429,29524.0,17529.0,0.5937203630944317,20.660601819454165,595.3636363636364,70.63636363636364,21.76923076923077,21.307692307692307,22.0,21.53846153846154,63.76923076923077,0.5191692307692307
Eastern Sierra Unified,22.0,0.0,,0.0,,46.0,0.0,,10198560.88,382.96,26630.87758512639,Unified,0.75,46.575,4.6,11.625,9.7,40,432.0,233.0,0.5393518518518519,10.8,19.5,1.0,,,,,,
El Dorado Union High,1052.0,959.0,0.89564,832.0,0.75704,3293.0,1096.0,0.86412,77743140.76,6299.68,12340.807907703249,High,0.6051873198847262,44.93659942363112,4.6023054755043225,15.829971181556196,11.752161383285303,347,7099.0,1643.0,0.2314410480349345,20.45821325648415,524.3333333333334,134.33333333333334,24.6,23.8,24.0,23.6,128.8,0.73968
El Monte Union High,1452.0,1022.0,0.6849,780.0,0.5027166666666667,4027.0,900.0,0.5026,121314592.88,8130.07,14921.715665424776,High,0.5061475409836066,45.70286885245902,6.047131147540983,17.756147540983605,15.110655737704919,488,9295.0,8302.0,0.893168370091447,19.047131147540984,728.0,100.66666666666667,21.333333333333332,20.333333333333332,21.166666666666668,20.666666666666668,47.0,0.5001500000000001
El Rancho Unified,534.0,329.0,0.61725,190.0,0.35645000000000004,1310.0,184.0,0.33536666666666665,101714507.87,8158.97,12466.586820395221,Unified,0.6924731182795699,45.421505376344086,5.765591397849462,17.78494623655914,16.608602150537635,465,9113.0,6810.0,0.74728409963788,19.59784946236559,661.5,218.0,19.0,18.0,19.0,19.0,62.0,0.2844
El Segundo Unified,284.0,265.0,0.9397500000000001,190.0,0.6738,602.0,300.0,0.8671,38774925.31,3340.01,11609.224316693662,Unified,0.7777777777777778,42.714285714285715,6.354497354497354,13.994708994708995,9.714285714285714,189,3525.0,595.0,0.16879432624113475,18.650793650793652,305.5,109.0,25.0,25.0,24.0,24.0,78.0,0.7156
El Tejon Unified,26.0,0.0,,0.0,,144.0,0.0,,8625448.99,684.41,12602.751260209525,Unified,0.717948717948718,53.38461538461539,3.871794871794872,19.692307692307693,12.897435897435898,39,813.0,564.0,0.6937269372693727,20.846153846153847,61.0,0.0,,,,,,
Elk Grove Unified,3768.0,2930.0,0.75788,2231.0,0.57127,9870.0,2775.0,0.64968,733618038.49,60022.32,12222.420567715477,Unified,0.7333896396396397,45.516328828828826,3.7576013513513513,16.45579954954955,13.88795045045045,3552,69182.0,39347.0,0.5687462056604319,19.476914414414413,769.0769230769231,141.3846153846154,22.9,21.7,22.6,22.0,114.0,0.6004700000000001
Emery Unified,26.0,0.0,,0.0,,118.0,28.0,0.2642,12504023.21,681.82,18339.185136839635,Unified,0.6851851851851852,42.388888888888886,4.314814814814815,11.444444444444445,6.148148148148148,54,780.0,620.0,0.7948717948717948,14.444444444444445,40.0,0.0,,,,,,
Escalon Unified,126.0,96.0,0.7619,60.0,0.47619999999999996,399.0,76.0,0.7451000000000001,26822743.45,2570.16,10436.215430167773,Unified,0.725609756097561,41.15243902439025,4.0426829268292686,12.701219512195122,9.670731707317072,164,3224.0,1648.0,0.511166253101737,19.658536585365855,194.5,16.0,21.0,19.0,21.0,22.0,10.0,0.625
Escondido Union High,1546.0,1164.0,0.7751714285714285,744.0,0.5141857142857142,4545.0,885.0,0.5846428571428571,101865134.13,6895.17,14773.404300401584,High,0.5867620751341681,43.13774597495528,5.64221824686941,12.189624329159212,10.28443649373882,559,10291.0,6423.0,0.6241375959576329,18.409660107334528,604.875,124.25,22.0,20.857142857142858,21.571428571428573,21.714285714285715,65.42857142857143,0.5248714285714285
Esparto Unified,32.0,12.0,0.375,12.0,0.375,161.0,22.0,0.6111,12549729.57,886.9,14150.106629834256,Unified,0.7358490566037735,43.660377358490564,4.622641509433962,10.11320754716981,6.69811320754717,53,1052.0,862.0,0.8193916349809885,19.849056603773583,45.0,0.0,,,,,,
Exeter Unified,100.0,68.0,0.68,34.0,0.34,493.0,57.0,0.5326500000000001,32297132.11,2617.14,12340.620719564105,Unified,0.7483443708609272,42.03973509933775,3.8741721854304636,14.132450331125828,9.443708609271523,151,3044.0,2160.0,0.709592641261498,20.158940397350992,206.0,18.0,25.0,23.0,20.0,23.0,13.0,0.7222
Fairfield-Suisun Unified,786.0,598.0,0.73474,412.0,0.50042,3005.0,466.0,0.6704,219811559.4,20390.67,10780.006708950712,Unified,0.7353198948290973,43.78702892199825,4.062226117440841,10.546888694127958,10.546888694127958,1141,23180.0,14411.0,0.6216997411561691,20.315512708150745,478.8333333333333,31.333333333333332,24.0,23.666666666666668,22.666666666666668,23.333333333333332,38.0,0.6771666666666667
Fall River Joint Unified,26.0,0.0,,0.0,,157.0,11.0,0.6111,16082930.76,1107.26,14524.981269078626,Unified,0.7468354430379747,47.59493670886076,4.063291139240507,11.189873417721518,9.050632911392405,79,1370.0,892.0,0.6510948905109489,17.341772151898734,50.666666666666664,14.0,22.0,20.0,22.0,22.0,9.0,0.4286
Fallbrook Union High,220.0,159.0,0.7396500000000001,108.0,0.5024,1012.0,151.0,0.6480999999999999,29705169.06,2000.76,14846.942691777123,High,0.49586776859504134,43.86776859504132,4.7190082644628095,11.785123966942148,7.925619834710743,121,2399.0,1524.0,0.6352646936223426,19.826446280991735,350.6666666666667,28.0,23.0,22.0,22.0,21.0,25.5,0.622
Farmersville Unified,124.0,44.0,0.3605,13.0,0.10644999999999999,356.0,10.0,0.0833,33044278.39,2410.62,13707.792348026649,Unified,0.6754966887417219,45.37748344370861,4.417218543046357,14.19205298013245,10.71523178807947,151,2717.0,2572.0,0.9466323150533676,17.99337748344371,193.0,46.0,18.0,16.0,17.0,17.0,8.0,0.1739
Ferndale Unified,22.0,0.0,,0.0,,78.0,0.0,,6593766.84,450.64,14632.005236996272,Unified,0.7317073170731707,40.97560975609756,3.1463414634146343,9.292682926829269,6.585365853658536,41,507.0,286.0,0.5641025641025641,12.365853658536585,34.0,2.0,,,,,,
Fillmore Unified,232.0,168.0,0.7241,122.0,0.5259,527.0,92.0,0.2054,46360060.99,3602.9,12867.42929029393,Unified,0.776255707762557,44.182648401826484,4.808219178082192,11.662100456621005,10.39269406392694,219,4026.0,3139.0,0.7796820665673124,18.383561643835616,274.0,29.0,24.0,23.0,23.0,23.0,19.0,0.6552
Firebaugh-Las Deltas Unified,168.0,80.0,0.47619999999999996,12.0,0.07139999999999999,314.0,20.0,0.1887,30060423.62,2155.56,13945.52859581733,Unified,0.631578947368421,39.69078947368421,3.4671052631578947,11.19078947368421,9.921052631578947,152,2365.0,2185.0,0.9238900634249472,15.55921052631579,168.5,31.0,16.0,15.0,16.0,17.0,3.0,0.0968
Folsom-Cordova Unified,920.0,815.0,0.869075,688.0,0.7171500000000001,3272.0,1003.0,0.855675,223508669.27,19502.48,11460.525495731825,Unified,0.77109440267335,46.040100250626566,4.685045948203843,15.191311612364244,11.801169590643275,1197,22270.0,8619.0,0.38702290076335877,18.60484544695071,615.0,103.6,25.75,25.75,25.25,24.75,109.0,0.7974000000000001
Fontana Unified,1994.0,1130.0,0.5704166666666667,614.0,0.30978333333333335,5647.0,1048.0,0.1691,490696592.89,34877.72,14069.05591563898,Unified,0.7137964774951077,45.72651663405088,5.6100782778864975,15.38013698630137,13.547945205479452,2044,39854.0,33967.0,0.8522858433281477,19.498043052837573,730.875,640.5,15.125,13.125,15.75,15.25,70.5,0.0885875
Fort Bragg Unified,62.0,55.0,0.9016,36.0,0.5903,276.0,46.0,0.5897,23447250.64,1678.03,13973.081911527208,Unified,0.7518248175182481,45.613138686131386,4.204379562043796,9.058394160583942,7.970802919708029,137,2025.0,1458.0,0.72,14.781021897810218,113.0,24.0,25.0,24.0,22.0,23.0,17.0,0.7082999999999999
Fort Sage Unified,0.0,0.0,,0.0,,42.0,0.0,,2312850.4,124.13,18632.485297671796,Unified,0.75,52.4,3.6,8.8,5.8,20,362.0,214.0,0.5911602209944752,18.1,20.0,0.0,,,,,,
Fortuna Union High,156.0,116.0,0.7494666666666667,90.0,0.6073666666666667,480.0,52.0,0.5641,13456258.65,1011.23,13306.823027402274,High,0.5384615384615384,42.06153846153846,3.6769230769230767,12.23076923076923,9.323076923076924,65,1205.0,685.0,0.5684647302904564,18.53846153846154,168.0,16.0,23.5,21.5,22.5,22.0,11.0,0.52085
Fowler Unified,152.0,88.0,0.5789,38.0,0.25,325.0,52.0,0.2766,31435016.84,2482.44,12662.951305973154,Unified,0.6821192052980133,41.71523178807947,4.139072847682119,13.834437086092715,11.42384105960265,151,2768.0,2171.0,0.784320809248555,18.33112582781457,207.0,10.0,,,,,,
Fremont Unified,1690.0,1524.0,0.9030666666666667,1382.0,0.8121499999999999,5038.0,2619.0,0.9193666666666668,382169476.39,33966.73,11251.288434005863,Unified,0.7447739426349052,44.384540593096744,4.607681088964512,10.302868254739913,10.278561011181331,2057,37898.0,8296.0,0.21890337220961528,18.423918327661642,615.0,127.75,28.833333333333332,29.333333333333332,29.166666666666668,28.0,157.0,0.9046833333333335
Fremont Union High,1756.0,1628.0,0.9256833333333333,1564.0,0.8887166666666667,5343.0,3052.0,0.9320833333333334,165529877.91,10591.23,15628.956968170836,High,0.6023688663282571,42.91201353637902,5.675126903553299,14.560067681895093,11.12859560067682,591,11335.0,1890.0,0.1667401852668725,19.179357021996616,916.3333333333334,290.6666666666667,29.833333333333332,30.333333333333332,30.333333333333332,29.166666666666668,274.0,0.9291000000000001
Fresno Unified,2096.0,1212.0,0.6049333333333333,685.0,0.3411166666666667,9484.0,1360.0,0.2666769230769231,910693019.62,66761.96,13640.896996133724,Unified,0.735649879041126,44.18627666593358,4.279305036287663,14.93446228282384,13.148009676709918,4547,82947.0,72896.0,0.8788262384414144,18.242137673191117,547.375,71.75,19.8,18.5,19.2,19.3,40.3,0.33506
Fullerton Joint Union High,2434.0,2028.0,0.820857142857143,1605.0,0.6351571428571429,6663.0,2097.0,0.7464571428571428,154360657.94,13012.74,11862.27173831184,High,0.521259842519685,44.899212598425194,6.2,15.913385826771654,14.193700787401575,635,15225.0,8475.0,0.5566502463054187,23.976377952755904,787.8888888888889,115.33333333333333,25.142857142857142,24.714285714285715,24.571428571428573,24.285714285714285,119.71428571428571,0.7473571428571428
Galt Joint Union High,428.0,306.0,0.6981666666666667,212.0,0.4812,1027.0,104.0,0.5921666666666666,27835247.62,2071.02,13440.356742088441,High,0.5968992248062015,43.674418604651166,4.6434108527131785,14.891472868217054,11.565891472868216,129,2348.0,1403.0,0.5975298126064736,18.2015503875969,365.6666666666667,38.666666666666664,21.0,19.666666666666668,20.666666666666668,20.333333333333332,19.333333333333332,0.4831999999999999
Garden Grove Unified,3148.0,2370.0,0.7466875,1778.0,0.5465625000000001,6615.0,2186.0,0.6009375,529652657.8,40854.24,12964.447699920498,Unified,0.7857142857142857,44.08377425044092,3.0207231040564375,14.891093474426809,13.690035273368606,2268,44462.0,31077.0,0.6989564122171742,19.604056437389772,875.25,153.75,21.571428571428573,21.571428571428573,21.857142857142858,21.285714285714285,98.42857142857143,0.5613714285714286
Gateway Unified,48.0,32.0,0.6667000000000001,22.0,0.4583,302.0,32.0,0.8,29777201.83,2116.85,14066.750988497059,Unified,0.7469879518072289,45.524096385542165,4.379518072289157,14.41566265060241,9.240963855421686,166,2926.0,2238.0,0.7648667122351333,17.626506024096386,150.5,3.0,,,,,,
Geyserville Unified,12.0,0.0,,0.0,,25.0,0.0,,4126485.56,216.26,19081.131785813373,Unified,0.6363636363636364,45.59090909090909,4.363636363636363,10.045454545454545,7.136363636363637,22,254.0,169.0,0.6653543307086615,11.545454545454545,11.5,1.0,,,,,,
Gilroy Unified,670.0,496.0,0.763725,356.0,0.567275,1783.0,398.0,0.701525,128503511.99,10481.27,12260.299752797131,Unified,0.7603305785123967,44.603305785123965,4.413223140495868,13.884297520661157,9.776859504132231,605,12670.0,7597.0,0.5996053670086819,20.94214876033058,451.75,73.5,22.666666666666668,21.333333333333332,22.666666666666668,21.666666666666668,58.666666666666664,0.6130666666666668
Glendale Unified,1278.0,1142.0,0.8914199999999999,998.0,0.7762399999999999,3904.0,1186.0,0.81798,305954698.14,24874.43,12299.968205904617,Unified,0.7600308641975309,46.36574074074074,6.1782407407407405,17.035493827160494,15.356481481481481,1296,26945.0,14621.0,0.5426238634254964,20.790895061728396,625.8333333333334,73.66666666666667,25.5,25.5,25.25,24.75,89.0,0.8129499999999998
Glendora Unified,496.0,428.0,0.8629000000000001,406.0,0.8184999999999999,1158.0,512.0,0.9014,79635072.68,6943.15,11469.58839719724,Unified,0.770618556701031,46.18041237113402,5.40979381443299,15.88659793814433,14.832474226804123,388,7456.0,2298.0,0.3082081545064378,19.216494845360824,615.0,79.0,25.0,23.0,24.0,23.0,66.0,0.8354
Golden Plains Unified,54.0,20.0,0.3704,0.0,0.0,214.0,2.0,0.0096,23921080.97,1546.63,15466.582809075213,Unified,0.6020408163265306,44.244897959183675,3.2346938775510203,11.5,10.510204081632653,98,1818.0,1741.0,0.9576457645764577,18.551020408163264,122.5,19.0,15.0,14.0,15.0,15.0,0.0,0.0
Golden Valley Unified,94.0,80.0,0.8511,46.0,0.4894,289.0,46.0,0.7188,21014692.99,1917.59,10958.908311995787,Unified,0.7168141592920354,42.097345132743364,3.6194690265486726,12.743362831858407,8.504424778761061,113,2364.0,1162.0,0.49153976311336717,20.920353982300885,155.0,17.0,23.0,24.0,22.0,22.0,12.0,0.7059000000000001
Gonzales Unified,108.0,62.0,0.5740999999999999,18.0,0.16670000000000001,372.0,16.0,0.129,30370795.07,2257.99,13450.367393123974,Unified,0.6470588235294118,45.76470588235294,4.985294117647059,13.764705882352942,8.323529411764707,136,2507.0,2091.0,0.8340646190666134,18.433823529411764,186.5,63.0,17.0,17.0,17.0,17.0,11.0,0.1746
Gridley Unified,130.0,79.0,0.6123999999999999,69.0,0.5348999999999999,334.0,80.0,0.4255,23369909.91,1981.06,11796.669414353932,Unified,0.6631578947368421,46.54736842105263,3.231578947368421,14.947368421052632,13.473684210526315,95,2299.0,1730.0,0.7525010874293171,24.2,166.5,15.0,22.0,22.0,24.0,22.0,9.0,0.6
Grossmont Union High,3028.0,2377.0,0.7688916666666666,1874.0,0.5983166666666667,9990.0,2307.0,0.6759384615384616,226587296.33,15397.78,14715.582137814672,High,0.5767946577629383,45.37395659432387,5.294657762938231,14.72787979966611,14.012520868113523,1198,22821.0,13379.0,0.5862582708908461,19.04924874791319,783.2142857142857,134.28571428571428,22.5,21.416666666666668,22.25,21.833333333333332,93.5,0.5963166666666667
Gustine Unified,36.0,18.0,0.5,6.0,0.16670000000000001,305.0,46.0,0.3286,21609694.15,1736.58,12443.823002683435,Unified,0.7524752475247525,41.16831683168317,3.3564356435643563,11.712871287128714,10.574257425742575,101,2007.0,1667.0,0.8305929247633284,19.871287128712872,147.5,28.0,20.0,19.0,17.0,19.0,8.0,0.2857
Hamilton Unified,50.0,26.0,0.52,10.0,0.2,99.0,14.0,0.2917,7881946.74,687.79,11459.815844952676,Unified,0.7708333333333334,42.479166666666664,3.875,13.916666666666666,11.1875,48,749.0,617.0,0.8237650200267023,15.604166666666666,88.0,30.0,18.0,18.0,18.0,19.0,7.0,0.23329999999999998
Hanford Joint Union High,386.0,272.0,0.7142999999999999,156.0,0.41045,1879.0,180.0,0.537525,46471416.45,3603.6,12895.830960705962,High,0.485,44.09,4.175,14.555,10.895,200,4214.0,2862.0,0.6791646891314665,21.07,427.0,22.5,21.333333333333332,20.666666666666668,19.666666666666668,20.666666666666668,14.333333333333334,0.5283333333333333
Hayward Unified,1098.0,681.0,0.6037833333333333,477.0,0.4215166666666667,3266.0,432.0,0.44408333333333333,266964086.73,18755.2,14234.137024931752,Unified,0.6982116244411326,44.12369597615499,4.5424739195231,11.942622950819672,11.201192250372578,1342,24097.0,17504.0,0.72639747686434,17.956035767511178,434.7142857142857,73.14285714285714,19.8,19.2,19.4,19.4,35.8,0.40286
Healdsburg Unified,94.0,78.0,0.8298000000000001,58.0,0.617,266.0,58.0,0.5859,22925988.7,1363.12,16818.76041727801,Unified,0.6701030927835051,43.51546391752577,4.56701030927835,13.597938144329897,9.381443298969073,97,1515.0,898.0,0.5927392739273928,15.618556701030927,148.5,36.0,24.0,25.0,22.0,22.0,29.0,0.8056
Hemet Unified,2390.0,1165.0,0.5192857142857142,575.0,0.27868571428571426,3445.0,217.0,0.5008,272916593.57,20074.85,13594.950575969435,Unified,0.6966292134831461,44.82504012841091,6.020064205457464,14.088282504012842,11.248796147672552,1246,25448.0,21527.0,0.8459210939955989,20.42375601926164,496.7142857142857,40.57142857142857,22.0,20.2,19.8,20.4,24.6,0.5035799999999999
Hesperia Unified,942.0,598.0,0.64916,326.0,0.30606,3616.0,442.0,0.48216000000000003,252991214.01,20624.51,12266.532102338431,Unified,0.7083333333333334,42.208333333333336,4.989583333333333,11.91025641025641,9.625,1248,28114.0,21219.0,0.7547485238671124,22.52724358974359,425.44444444444446,56.666666666666664,20.2,18.2,19.0,18.8,36.2,0.36956000000000006
Hilmar Unified,92.0,58.0,0.6304,32.0,0.3478,365.0,64.0,0.48479999999999995,27435691.56,2249.43,12196.730531734707,Unified,0.7945205479452054,43.842465753424655,3.8698630136986303,15.705479452054794,13.986301369863014,146,2490.0,1490.0,0.5983935742971888,17.054794520547944,160.0,26.0,22.0,20.0,20.0,20.0,11.0,0.42310000000000003
