cumulative_enrollment,cum_enrollment_sed,socio_ec_disadv_pct
21624.0,11463.0,0.5301054384017758
5803.0,453.0,0.07806307082543512
615.0,203.0,0.3300813008130081
28688.0,15525.0,0.5411670384829894
10545.0,8825.0,0.8368895211000474
4668.0,3223.0,0.6904455869751499
11840.0,4046.0,0.341722972972973
3827.0,882.0,0.23046772929187354
111.0,29.0,0.26126126126126126
17513.0,11362.0,0.6487751955690059
9307.0,8314.0,0.8933061136778768
100.0,93.0,0.93
1049.0,775.0,0.7387988560533841
81.0,61.0,0.7530864197530864
1793.0,601.0,0.3351924149470162
6334.0,2604.0,0.4111146195137354
635.0,585.0,0.9212598425196851
114.0,54.0,0.47368421052631576
11709.0,9838.0,0.840208386711077
428.0,286.0,0.6682242990654206
207.0,163.0,0.7874396135265701
20554.0,16471.0,0.8013525347864162
259.0,147.0,0.5675675675675675
4391.0,2088.0,0.4755181052152129
9689.0,8412.0,0.8682010527402209
9130.0,7824.0,0.8569550930996714
32342.0,25063.0,0.7749366149279574
2070.0,1252.0,0.6048309178743961
519.0,443.0,0.8535645472061657
973.0,574.0,0.5899280575539568
26326.0,19603.0,0.7446250854668389
19527.0,13912.0,0.7124494289957495
16520.0,11965.0,0.7242736077481841
9767.0,2735.0,0.28002457254018637
1214.0,693.0,0.570840197693575
483.0,319.0,0.660455486542443
256.0,202.0,0.7890625
1964.0,1659.0,0.844704684317719
1105.0,672.0,0.6081447963800904
3375.0,3250.0,0.9629629629629629
5084.0,2194.0,0.43154996066089696
5556.0,4427.0,0.796796256299496
2035.0,1225.0,0.601965601965602
8886.0,7662.0,0.8622552329507089
151.0,143.0,0.9470198675496688
36026.0,32725.0,0.9083717315272304
25040.0,18866.0,0.7534345047923323
133.0,12.0,0.09022556390977443
402.0,281.0,0.6990049751243781
127.0,110.0,0.8661417322834646
5401.0,4788.0,0.8865024995371228
931.0,478.0,0.5134264232008593
7649.0,6245.0,0.8164465943260557
971.0,587.0,0.6045314109165808
3758.0,3480.0,0.9260244811069718
399.0,281.0,0.7042606516290727
2686.0,1943.0,0.7233804914370812
2280.0,2113.0,0.9267543859649123
11891.0,6932.0,0.5829619039609789
397.0,259.0,0.6523929471032746
177.0,104.0,0.5875706214689266
468.0,401.0,0.8568376068376068
1335.0,1167.0,0.8741573033707866
12792.0,9291.0,0.7263133208255159
4439.0,436.0,0.09822031989186754
38.0,31.0,0.8157894736842105
4870.0,1267.0,0.26016427104722795
1022.0,298.0,0.29158512720156554
10638.0,3604.0,0.3387854859936078
7322.0,2462.0,0.3362469270691068
3964.0,764.0,0.1927346115035318
51.0,19.0,0.37254901960784315
21.0,14.0,0.6666666666666666
342.0,211.0,0.6169590643274854
153.0,123.0,0.803921568627451
201.0,124.0,0.6169154228855721
151.0,46.0,0.304635761589404
146.0,108.0,0.7397260273972602
700.0,478.0,0.6828571428571428
2147.0,1167.0,0.543549138332557
40.0,14.0,0.35
250.0,187.0,0.748
1355.0,672.0,0.4959409594095941
14.0,0.0,0.0
1475.0,603.0,0.4088135593220339
174.0,113.0,0.6494252873563219
25.0,23.0,0.92
92.0,38.0,0.41304347826086957
10783.0,4393.0,0.40740053788370584
167.0,29.0,0.17365269461077845
2657.0,1013.0,0.3812570568310124
4290.0,3323.0,0.7745920745920746
80.0,44.0,0.55
4340.0,3916.0,0.9023041474654377
2143.0,1691.0,0.7890807279514699
6226.0,2072.0,0.3327979441053646
723.0,302.0,0.41770401106500693
37.0,30.0,0.8108108108108109
551.0,423.0,0.7676950998185118
482.0,136.0,0.2821576763485477
482.0,254.0,0.5269709543568465
146.0,80.0,0.547945205479452
6440.0,1276.0,0.19813664596273292
637.0,276.0,0.43328100470957615
4860.0,3531.0,0.7265432098765432
226.0,160.0,0.7079646017699115
15975.0,6143.0,0.38453834115805946
3602.0,471.0,0.13076068850638534
91.0,70.0,0.7692307692307693
133.0,123.0,0.924812030075188
5134.0,3892.0,0.7580833657966498
1821.0,1283.0,0.7045579352004393
328.0,286.0,0.8719512195121951
202.0,105.0,0.5198019801980198
372.0,364.0,0.978494623655914
2476.0,895.0,0.361470113085622
3260.0,1477.0,0.4530674846625767
19193.0,13572.0,0.707132808836555
620.0,363.0,0.5854838709677419
3151.0,1886.0,0.5985401459854015
9898.0,8594.0,0.8682562133764397
52.0,37.0,0.7115384615384616
622.0,620.0,0.9967845659163987
75.0,75.0,1.0
390.0,390.0,1.0
378.0,132.0,0.3492063492063492
1227.0,1047.0,0.8533007334963325
897.0,679.0,0.7569676700111483
3552.0,670.0,0.18862612612612611
502.0,276.0,0.549800796812749
7618.0,3477.0,0.45641900761354687
8867.0,2838.0,0.32006315552046916
552.0,301.0,0.5452898550724637
70.0,0.0,0.0
212.0,118.0,0.5566037735849056
56918.0,16453.0,0.2890649706595453
722.0,143.0,0.19806094182825484
11820.0,2975.0,0.2516920473773266
2579.0,481.0,0.18650639782861575
2300.0,1419.0,0.6169565217391304
1631.0,1470.0,0.9012875536480687
1429.0,1134.0,0.7935619314205739
2140.0,718.0,0.3355140186915888
77.0,65.0,0.8441558441558441
9680.0,2493.0,0.2575413223140496
192.0,89.0,0.4635416666666667
4658.0,3215.0,0.6902103907256333
11226.0,8775.0,0.7816675574559059
4883.0,2942.0,0.6024984640589801
17451.0,13719.0,0.7861440605122916
2052.0,1097.0,0.5346003898635477
4520.0,3489.0,0.7719026548672566
4521.0,2772.0,0.6131386861313869
16480.0,13677.0,0.8299150485436894
26035.0,16576.0,0.6366813904359516
5022.0,2915.0,0.5804460374352848
