d_name,gender_code,age,education_level,years_teaching,years_in_district,tchrs_per_district
Center Joint Unified,0.725925925925926,47.63333333333333,4.681481481481481,15.514814814814814,11.703703703703704,270
Centinela Valley Union High,0.5695364238410596,41.4083885209713,5.843267108167771,12.706401766004415,9.035320088300221,453
Central Elementary,0.895397489539749,43.87866108786611,5.937238493723849,15.246861924686192,12.589958158995817,239
Central Unified,0.6961883408071748,43.487668161434975,4.048206278026906,12.424887892376681,10.332959641255606,892
Central Union Elementary,0.7899159663865546,45.285714285714285,4.53781512605042,16.277310924369747,12.218487394957982,119
Central Union High,0.5614035087719298,44.85526315789474,4.785087719298246,12.600877192982455,11.083333333333334,228
Centralia Elementary,0.909952606635071,46.800947867298575,5.018957345971564,17.29383886255924,16.13270142180095,211
Ceres Unified,0.7550535077288941,39.81093935790725,3.609988109393579,12.351961950059453,9.80499405469679,841
Chaffey Joint Union High,0.5485564304461942,45.045494313210845,5.058617672790901,15.400699912510936,13.097112860892388,1143
Charter Oak Unified,0.7991967871485943,48.44578313253012,6.3694779116465865,17.132530120481928,14.738955823293173,249
Chatom Union,0.8484848484848485,44.15151515151515,4.303030303030303,16.363636363636363,11.696969696969697,33
Chawanakee Unified,0.7272727272727273,40.90909090909091,4.220779220779221,10.441558441558442,5.688311688311688,77
Chicago Park Elementary,0.8,46.8,4.6,13.8,6.866666666666666,15
Chico Unified,0.7435064935064936,44.26731601731602,4.25,15.691558441558442,11.285714285714286,924
Chino Valley Unified,0.7511864406779661,46.0664406779661,3.743050847457627,12.934915254237287,12.771525423728814,1475
Chowchilla Elementary,0.8803418803418803,41.98290598290598,3.641025641025641,12.743589743589743,11.162393162393162,117
Chowchilla Union High,0.639344262295082,41.60655737704918,4.80327868852459,10.311475409836065,7.311475409836065,61
Chualar Union,0.75,37.3,4.45,9.65,6.6,20
Chula Vista Elementary,0.8369803063457331,41.81728665207878,5.4792122538293215,12.719912472647703,11.141684901531729,1828
Cienega Union Elementary,1.0,63.0,3.0,20.0,20.0,1
Cinnabar Elementary,0.8823529411764706,41.23529411764706,4.235294117647059,9.529411764705882,7.882352941176471,17
Claremont Unified,0.7671957671957672,44.333333333333336,5.888888888888889,16.304232804232804,12.367724867724867,378
Clay Joint Elementary,0.8461538461538461,42.76923076923077,4.538461538461538,13.923076923076923,9.846153846153847,13
Clear Creek Elementary,0.9166666666666666,44.416666666666664,4.333333333333333,15.75,6.5,12
Cloverdale Unified,0.6808510638297872,44.287234042553195,4.553191489361702,13.159574468085106,9.936170212765957,94
Clovis Unified,0.7027942421676545,42.98348856900932,4.14987298899238,14.607959356477561,12.02116850127011,2362
Coachella Valley Unified,0.6529100529100529,45.55343915343915,5.782010582010582,15.188359788359788,13.748148148148148,945
Coalinga-Huron Unified,0.6875,42.140625,3.625,11.47265625,10.79296875,256
Coast Unified,0.6458333333333334,45.645833333333336,4.520833333333333,14.5625,10.666666666666666,48
Coffee Creek Elementary,0.5,59.0,6.5,8.5,1.5,2
Cold Spring Elementary,0.875,44.75,4.4375,8.5,5.9375,16
Colfax Elementary,0.782608695652174,44.30434782608695,4.782608695652174,11.869565217391305,8.434782608695652,23
College Elementary,0.9090909090909091,44.45454545454545,4.454545454545454,12.363636363636363,8.0,11
Colton Joint Unified,0.718923198733175,43.9089469517023,5.072050673000792,14.543151227236738,13.521773555027712,1263
Columbia Elementary,0.7848101265822784,47.65822784810127,4.227848101265823,12.518987341772151,8.278481012658228,79
Columbia Union,0.9310344827586207,43.96551724137931,3.6551724137931036,12.172413793103448,8.10344827586207,29
Columbine Elementary,0.6363636363636364,47.45454545454545,3.3636363636363638,17.818181818181817,13.272727272727273,11
Colusa County Office of Education,0.78125,43.09375,3.84375,12.03125,8.3125,32
Colusa Unified,0.8,41.77647058823529,3.8941176470588235,13.470588235294118,11.423529411764706,85
Compton Unified,0.6906686260102866,47.258633357825126,4.555473916238061,13.802351212343865,13.518736223365172,1361
Conejo Valley Unified,0.7773279352226721,46.272267206477736,6.0091093117408905,14.839068825910932,14.411943319838057,988
Contra Costa County Office of Education,0.6865671641791045,40.63681592039801,4.736318407960199,9.960199004975124,4.972636815920398,402
Corcoran Joint Unified,0.6842105263157895,41.71052631578947,3.5473684210526315,10.368421052631579,8.194736842105263,190
Corning Union Elementary,0.7672413793103449,45.241379310344826,3.603448275862069,13.991379310344827,10.60344827586207,116
Corning Union High,0.5,44.13793103448276,3.0517241379310347,14.189655172413794,14.155172413793103,58
Corona-Norco Unified,0.7582123758594347,44.79946524064171,6.5064935064935066,16.514514896867837,14.154316271963332,2618
Coronado Unified,0.7333333333333333,44.53888888888889,5.838888888888889,12.316666666666666,8.744444444444444,180
Cotati-Rohnert Park Unified,0.736,42.64266666666666,4.498666666666667,11.848,9.664,375
Cottonwood Union Elementary,0.7910447761194029,45.88059701492537,4.134328358208955,12.611940298507463,11.164179104477611,67
Covina-Valley Unified,0.6925373134328359,44.767164179104476,6.461194029850747,15.744776119402985,13.594029850746269,670
Cucamonga Elementary,0.8013698630136986,42.56164383561644,5.5479452054794525,15.143835616438356,13.253424657534246,146
Cuddeback Union Elementary,0.8181818181818182,49.54545454545455,3.3636363636363638,17.90909090909091,16.0,11
Culver City Unified,0.7562814070351759,43.45477386934673,5.816582914572864,12.49748743718593,11.075376884422111,398
Cupertino Union,0.8299465240641711,44.47807486631016,4.463101604278075,13.249197860962568,11.137967914438503,935
Curtis Creek Elementary,0.7619047619047619,50.666666666666664,3.857142857142857,20.666666666666668,13.857142857142858,21
Cutler-Orosi Joint Unified,0.6887966804979253,41.93775933609958,4.775933609958506,12.946058091286307,10.697095435684647,241
Cutten Elementary,0.9166666666666666,42.44444444444444,3.861111111111111,14.083333333333334,8.86111111111111,36
Cuyama Joint Unified,0.7591240875912408,40.87956204379562,4.821167883211679,11.182481751824817,2.0875912408759123,274
Cypress Elementary,0.8861386138613861,43.91089108910891,5.737623762376238,16.217821782178216,13.752475247524753,202
Davis Joint Unified,0.7482638888888888,45.498263888888886,4.762152777777778,14.168402777777779,10.041666666666666,576
Death Valley Unified,0.5,62.5,5.5,12.625,8.375,8
Dehesa Elementary,0.8564356435643564,41.68019801980198,4.705940594059406,9.592079207920792,2.1514851485148516,1010
Del Mar Union Elementary,0.9113475177304965,43.780141843971634,5.4361702127659575,18.9468085106383,14.964539007092199,282
Del Norte County Office of Education,0.5161290322580645,50.25806451612903,3.2903225806451615,16.741935483870968,14.903225806451612,31
Del Norte County Unified,0.70042194092827,46.41772151898734,3.5063291139240507,14.181434599156118,12.907172995780591,237
Delano Joint Union High,0.4675324675324675,39.93939393939394,4.3852813852813854,9.70995670995671,9.216450216450216,231
Delano Union Elementary,0.7696078431372549,41.759803921568626,3.982843137254902,12.607843137254902,11.894607843137255,408
Delhi Unified,0.6950354609929078,44.255319148936174,3.8865248226950353,13.99290780141844,11.815602836879433,141
Delphic Elementary,1.0,44.75,4.25,7.25,4.25,4
Denair Unified,0.7411764705882353,43.71764705882353,3.623529411764706,10.83529411764706,8.435294117647059,85
Desert Center Unified,0.6666666666666666,52.666666666666664,7.0,20.666666666666668,7.0,3
Desert Sands Unified,0.7100753941055518,47.223440712816995,5.667580534612749,15.308430431802604,12.085675119945169,1459
Di Giorgio Elementary,0.9166666666666666,43.5,3.4166666666666665,12.75,12.75,12
Dinuba Unified,0.6329787234042553,43.920212765957444,4.375,12.5,12.11436170212766,376
Dixie Elementary,0.8487394957983193,44.747899159663866,4.80672268907563,13.714285714285714,9.008403361344538,119
Dixon Unified,0.7488584474885844,43.87214611872146,4.018264840182648,12.301369863013699,10.031963470319635,219
Dos Palos Oro Loma Joint Unified,0.7037037037037037,44.60740740740741,4.503703703703704,13.444444444444445,11.837037037037037,135
Douglas City Elementary,0.8125,49.6875,3.4375,17.1875,12.0625,16
Downey Unified,0.7099303135888502,45.258710801393725,4.755226480836237,17.362369337979093,15.70993031358885,1148
Dry Creek Joint Elementary,0.8515625,45.4609375,4.419270833333333,17.799479166666668,13.791666666666666,384
Duarte Unified,0.7021276595744681,42.02836879432624,5.897163120567376,11.570921985815604,9.056737588652481,282
Dublin Unified,0.8126934984520123,40.961300309597526,4.80030959752322,12.540247678018575,7.958204334365325,646
Ducor Union Elementary,0.5833333333333334,43.5,2.5833333333333335,5.333333333333333,3.25,12
Dunham Elementary,1.0,47.46153846153846,4.538461538461538,12.0,9.384615384615385,13
Dunsmuir Elementary,1.0,48.6,2.8,20.4,19.4,5
Dunsmuir Joint Union High,0.5,48.4,3.5,13.2,12.7,10
Durham Unified,0.7121212121212122,45.833333333333336,4.136363636363637,17.893939393939394,11.833333333333334,66
Earlimart Elementary,0.75,41.354166666666664,3.84375,9.9375,8.520833333333334,96
East Nicolaus Joint Union High,0.6,40.3,4.2,7.75,4.25,20
East Side Union High,0.5710286913925823,42.66270118964311,5.009097270818755,13.465360391882434,11.212736179146257,1429
East Whittier City Elementary,0.8293736501079914,44.23110151187905,5.889848812095033,16.488120950323975,14.224622030237581,463
Eastern Sierra Unified,0.75,46.575,4.6,11.625,9.7,40
Eastside Union Elementary,0.7819148936170213,44.223404255319146,4.5638297872340425,13.611702127659575,9.670212765957446,188
Edison Elementary,0.7714285714285715,42.9,4.0285714285714285,13.042857142857143,9.471428571428572,70
El Centro Elementary,0.8,38.666666666666664,4.2,5.2,2.4,15
El Dorado County Office of Education,0.7692307692307693,47.53846153846154,4.794871794871795,13.455128205128204,8.153846153846153,156
El Dorado Union High,0.6051873198847262,44.93659942363112,4.6023054755043225,15.829971181556196,11.752161383285303,347
El Monte City,0.8062360801781737,45.71937639198218,5.247216035634744,11.167037861915368,10.643652561247215,449
El Monte Union High,0.5061475409836066,45.70286885245902,6.047131147540983,17.756147540983605,15.110655737704919,488
El Nido Elementary,0.7777777777777778,47.666666666666664,3.3333333333333335,13.222222222222221,13.222222222222221,9
El Rancho Unified,0.6924731182795699,45.421505376344086,5.765591397849462,17.78494623655914,16.608602150537635,465
El Segundo Unified,0.7777777777777778,42.714285714285715,6.354497354497354,13.994708994708995,9.714285714285714,189
El Tejon Unified,0.717948717948718,53.38461538461539,3.871794871794872,19.692307692307693,12.897435897435898,39
Elk Grove Unified,0.7333896396396397,45.516328828828826,3.7576013513513513,16.45579954954955,13.88795045045045,3552
Elk Hills Elementary,1.0,47.1,3.9,3.9,3.9,10
Elkins Elementary,1.0,63.0,3.0,33.0,33.0,1
Elverta Joint Elementary,0.7142857142857143,46.07142857142857,4.428571428571429,8.428571428571429,6.285714285714286,14
Emery Unified,0.6851851851851852,42.388888888888886,4.314814814814815,11.444444444444445,6.148148148148148,54
Empire Union Elementary,0.7791411042944786,44.147239263803684,3.8773006134969323,11.950920245398773,10.785276073619633,163
Encinitas Union Elementary,0.8918032786885246,44.363934426229505,5.747540983606557,16.465573770491805,13.754098360655737,305
Enterprise Elementary,0.8059701492537313,44.865671641791046,4.054726368159204,13.16915422885572,11.323383084577115,201
Escalon Unified,0.725609756097561,41.15243902439025,4.0426829268292686,12.701219512195122,9.670731707317072,164
Escondido Union,0.8270616493194556,44.842273819055244,4.586869495596477,13.11048839071257,10.66693354683747,1249
Escondido Union High,0.5867620751341681,43.13774597495528,5.64221824686941,12.189624329159212,10.28443649373882,559
Esparto Unified,0.7358490566037735,43.660377358490564,4.622641509433962,10.11320754716981,6.69811320754717,53
Etiwanda Elementary,0.8656716417910447,44.702985074626866,5.461194029850747,13.01641791044776,11.50597014925373,670
Eureka City Schools,0.6790123456790124,43.629629629629626,3.94238683127572,13.901234567901234,10.765432098765432,243
Eureka Union,0.8385416666666666,47.442708333333336,4.90625,18.192708333333332,13.578125,192
Evergreen Elementary,0.8248587570621468,47.516007532956685,5.067796610169491,18.015065913370996,16.393596986817325,531
Evergreen Union,0.8285714285714286,42.75714285714286,3.3714285714285714,12.257142857142858,10.528571428571428,70
Exeter Unified,0.7483443708609272,42.03973509933775,3.8741721854304636,14.132450331125828,9.443708609271523,151
Fairfax Elementary,0.7843137254901961,40.89542483660131,3.6862745098039214,10.222222222222221,9.732026143790849,153
Fairfield-Suisun Unified,0.7353198948290973,43.78702892199825,4.062226117440841,10.546888694127958,10.546888694127958,1141
Fall River Joint Unified,0.7468354430379747,47.59493670886076,4.063291139240507,11.189873417721518,9.050632911392405,79
Fallbrook Union Elementary,0.8494983277591973,43.2943143812709,4.919732441471572,14.882943143812708,11.327759197324415,299
Fallbrook Union High,0.49586776859504134,43.86776859504132,4.7190082644628095,11.785123966942148,7.925619834710743,121
Farmersville Unified,0.6754966887417219,45.37748344370861,4.417218543046357,14.19205298013245,10.71523178807947,151
Feather Falls Union Elementary,0.5,59.0,3.0,10.5,10.5,2
Ferndale Unified,0.7317073170731707,40.97560975609756,3.1463414634146343,9.292682926829269,6.585365853658536,41
Fieldbrook Elementary,0.8571428571428571,51.07142857142857,3.857142857142857,17.285714285714285,10.214285714285714,14
Fillmore Unified,0.776255707762557,44.182648401826484,4.808219178082192,11.662100456621005,10.39269406392694,219
Firebaugh-Las Deltas Unified,0.631578947368421,39.69078947368421,3.4671052631578947,11.19078947368421,9.921052631578947,152
Flournoy Union Elementary,1.0,36.0,3.0,11.0,11.0,1
